parameter_id,parameter_family,purpose,value,status,unit,scope,evidence_ids,origin_type,adoption_reason,alternatives,uncertainty,sensitivity,calibration,model_version,release_gate,legacy_rule_ids,source_locator,live_default,notes
PAR_LEGACY_CURVE_LIGHT_WAVES,legacy_curve,LIGHT_WAVES 점수곡선 좌표,"{""points"":[[0,100],[0.3,95],[0.6,75],[0.9,40],[1.2,10],[1.5,0]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,m→heuristic_points,swim,AC01;AC02;AC15,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-05,legacy profiles.py:87,null,서핑 선호/안전곡선 아님; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_LOW_RAIN,legacy_curve,LOW_RAIN 점수곡선 좌표,"{""points"":[[0,100],[0.1,80],[1,60],[3,35],[15,0]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,mm_per_1h→heuristic_points,swim,HC04;HC07;SW04;SW07;AC13,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-05,legacy profiles.py:88,null,원metric precipitation_1h_mm; POP/일누적/지속시간으로 대체불가; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_UV_COMFORT,legacy_curve,UV_COMFORT 점수곡선 좌표,"{""points"":[[0,100],[2,100],[5,80],[7,60],[10,35],[11,25],[15,0]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,UV_index→heuristic_points,swim/surf/mudflat,,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-05,legacy profiles.py:89,null,특정 선호좌표를 뒷받침한 근거 미확보. UV 위해가 선호점수의 근거 아님; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_COOL_WEATHER_ONSEN,legacy_curve,COOL_WEATHER_ONSEN 점수곡선 좌표,"{""points"":[[-15,100],[0,100],[10,90],[20,65],[28,35],[35,10],[40,0]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,degC→heuristic_points,legacy 정의만 있음; PROFILES 미사용,AC05;AC06;AC07,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-09,legacy profiles.py:83–85,null,historical_definition_only; 기존 활성 온천 모델로 보고하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_USER_RATING,legacy_curve,USER_RATING 점수곡선 좌표,"{""points"":[[1,0],[2,25],[3,50],[4,80],[5,100]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,rating_1_to_5→heuristic_points,legacy 정의만 있음; PROFILES 미사용,,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-05,legacy profiles.py:90,null,historical_definition_only; 원연구 미확보; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_PROPORTION_SCORE,legacy_curve,PROPORTION_SCORE 점수곡선 좌표,"{""points"":[[0,0],[1,100]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,proportion→heuristic_points,onsen/rafting,,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-09;L-10,legacy profiles.py:91,null,선형척도 변환의 제품 가정; 타당성 보장 아님; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_IDENTITY_SCORE,legacy_curve,IDENTITY_SCORE 점수곡선 좌표,"{""points"":[[0,0],[100,100]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,heuristic_points→heuristic_points,relax/rafting,,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-07;L-10,legacy curves.py:52,null,기존 점수 identity/clamp 정의; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CROWD_CATEGORY_POINTS,legacy_curve,혼잡 범주 선호점수,"{""low"":100,""낮음"":100,""medium"":65,""보통"":65,""high"":30,""높음"":30,""very_high"":10,""매우높음"":10}",retired_or_not_adopted,category→heuristic_points,swim/surf/relax/mudflat,,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-05,legacy profiles.py:64–75,null,한국 선호 검증 미확보; 모든 사람의 저혼잡 선호를 가정하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_INTERPOLATION,legacy_curve,곡선 범위·유효성 공통 처리,"{""score_domain"":[0,100],""minimum_points"":2,""x_order"":""strictly_increasing_unique"",""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,algorithm,legacy piecewise curves,,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-03;L-04;L-05,legacy curves.py:20–38,null,끝점고정은 안전영역 확장이 아님; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_HCI_THERMAL_BANDS,legacy_hci_curve,legacy HCI THERMAL 경계 전사,"{""special"":[{""lt"":10,""score"":-10}],""upper_exclusive_score_pairs"":[[15,-5],[17,0],[18,1],[19,2],[20,3],[21,4],[22,5],[23,6],[26,7],[28,9],[31,10],[33,9],[34,8],[35,7],[36,6],[37,5],[38,4],[39,2]],""otherwise"":0}",retired_or_not_adopted,Humidex_index→component_points,legacy relax,HC01;HC02,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-07,legacy hci.py:33–76,null,HC01 원표의 새 모델 승인값으로 자동 승격하지 않음; 포함경계와 소수처리는 재현 전 별도 QA; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_HCI_CLOUD_BANDS,legacy_hci_curve,legacy HCI CLOUD 경계 전사,"{""input_clamp"":[0,100],""upper_exclusive_score_pairs"":[[1,8],[15,9],[26,10],[36,9],[46,8],[56,7],[66,6],[76,5],[86,4],[96,3],[101,2]]}",retired_or_not_adopted,cloud_percent→component_points,legacy relax,HC01;HC02,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-07,legacy hci.py:33–76,null,HC01 원표의 새 모델 승인값으로 자동 승격하지 않음; 포함경계와 소수처리는 재현 전 별도 QA; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_HCI_PRECIPITATION_BANDS,legacy_hci_curve,legacy HCI PRECIPITATION 경계 전사,"{""input_floor"":0,""zero_score"":10,""upper_exclusive_score_pairs"":[[3,9],[6,8],[9,6],[12,4],[25,0]],""otherwise"":-1}",retired_or_not_adopted,daily_mm→component_points,legacy relax,HC01;HC02,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-07,legacy hci.py:33–76,null,HC01 원표의 새 모델 승인값으로 자동 승격하지 않음; 포함경계와 소수처리는 재현 전 별도 QA; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
